Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Gee, Derek",Israel - Premier Tech,12.3,0,0,0.0,,"Jappo, Okholm"
"Geens, Jonas",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Gelders, Gil",Soudal - Quick-Step,1.4,0,0,0.0,Ja,
"Geleijn, Owen",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Gendt, Aimé De",Cofidis,1.1,0,0,0.0,Ja,
"Geniets, Kévin",Groupama - FDJ,1.4,0,0,0.0,Ja,
"Geoghegan Hart, Tao",Lidl - Trek,10.7,0,0,0.0,,"Jarma, Okholm"
"Gerits, Vince",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Germani, Lorenzo",Groupama - FDJ,1.2,0,0,0.0,Ja,
"Gesbert, Elie",Arkéa - BnB Hotels,1.2,0,0,0.0,Ja,
"Gestel, Dries Van",Soudal - Quick-Step,3.5,0,0,0.0,,
"Ghebreigzabhier, Amanuel",Lidl - Trek,1.3,1,0,0.0,Ja,
"Ghys, Robbe",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Gibbons, Ryan",Lidl - Trek,1.3,0,0,0.0,Ja,
"Giddings, Joshua",Lotto,1.2,0,0,0.0,Ja,
"Gils, Maxim Van",Red Bull - BORA - hansgrohe,19.9,0,0,0.0,,"Kenk, Matti"
"Gimeno, Nil",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Girmay, Biniam",Intermarché - Wanty,16.0,0,0,0.0,,"Jappo, Knak, Matti, Okholm, Visti"
"Glivar, Gal",Alpecin - Deceuninck,1.6,6,0,0.0,Ja,
"Gloag, Thomas",Team Visma - Lease a Bike,3.2,6,55,17.2,,
"Godon, Dorian",Decathlon AG2R La Mondiale,6.4,6,3,0.5,,
"Gogl, Michael",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Gomez, Germán",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"González, Abner",Caja Rural - Seguros RGA,1.3,5,0,0.0,Ja,
"González, David",Q36.5 Pro Cycling Team,1.2,1,0,0.0,Ja,
"González, Roberto",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Goossens, Kobe",Intermarché - Wanty,2.2,0,0,0.0,,
"Govekar, Matevž",Bahrain Victorious,4.4,0,0,0.0,,
"Graat, Tijmen",Team Visma - Lease a Bike,1.7,6,0,0.0,Ja,
"Gradek, Kamil",Bahrain Victorious,1.0,1,0,0.0,Ja,
"Graeve, Quinten De",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Gregaard, Jonas",Lotto,1.4,0,0,0.0,Ja,
"Grégoire, Romain",Groupama - FDJ,9.6,0,0,0.0,,"Chrelle, Jarma, Knak"
"Grellier, Fabien",TotalEnergies,1.0,5,0,0.0,Ja,
"Grignard, Sébastien",Lotto,1.0,0,0,0.0,Ja,
"Groenewegen, Dylan",Team Jayco AlUla,8.8,5,30,3.4,,
"Grondin, Donavan",Arkéa - BnB Hotels,1.1,6,0,0.0,Ja,
"Grossschartner, Felix",UAE Emirates XRG,4.3,1,0,0.0,,
"Groves, Kaden",Alpecin - Deceuninck,14.6,1,0,0.0,,
"Gruel, Thibaud",Groupama - FDJ,2.6,0,0,0.0,,
"Guardeño, Jaume",Caja Rural - Seguros RGA,1.0,1,0,0.0,Ja,
"Gudmestad, Tord",Decathlon AG2R La Mondiale,1.2,0,0,0.0,Ja,
"Guernalec, Thibault",Arkéa - BnB Hotels,1.1,0,0,0.0,Ja,
"Guernalec, Victor",Arkéa - BnB Hotels,1.1,0,0,0.0,Ja,
"Guerreiro, Ruben",Movistar Team,4.8,0,0,0.0,,
"Guglielmi, Simon",Arkéa - BnB Hotels,1.3,0,0,0.0,Ja,
"Gutiérrez, Jorge",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Hagenes, Per Strand",Team Visma - Lease a Bike,5.8,0,0,0.0,,
"Haig, Jack",Bahrain Victorious,3.9,1,0,0.0,,
"Hajek, Alexander",Red Bull - BORA - hansgrohe,1.1,0,0,0.0,Ja,
"Haller, Marco",Tudor Pro Cycling Team,1.9,0,0,0.0,Ja,
"Hamilton, Chris",Team Picnic PostNL,1.3,0,0,0.0,Ja,
"Hamilton, Lucas",INEOS Grenadiers,1.6,7,0,0.0,Ja,
"Harper, Chris",Team Jayco AlUla,3.7,7,14,3.8,,
"Hatherly, Alan",Team Jayco AlUla,3.8,5,42,11.1,,
"Hautegem, Leander Van",Wagner Bazin WB,1.1,5,0,0.0,Ja,
"Hayter, Ethan",Soudal - Quick-Step,9.4,0,0,0.0,,"Chrelle, Jappo"
"Healy, Ben",EF Education - EasyPost,12.4,0,0,0.0,,Knak
"Heiduk, Kim",INEOS Grenadiers,1.2,0,0,0.0,Ja,
"Hellemose, Asbjørn",Team Jayco AlUla,1.0,1,0,0.0,Ja,
"Hemelen, Vincent Van",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Heming, Miká",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Hennequin, Paul",Euskaltel - Euskadi,1.5,0,0,0.0,Ja,
"Hepburn, Michael",Team Jayco AlUla,1.1,7,0,0.0,Ja,
"Hermans, Quinten",Alpecin - Deceuninck,5.1,0,0,0.0,,
"Herrada, Jesús",Cofidis,2.2,7,0,0.0,Ja,
"Herregodts, Rune",UAE Emirates XRG,1.9,6,0,0.0,Ja,
"Herreño, Martin",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Herzog, Emil",Red Bull - BORA - hansgrohe,1.1,0,0,0.0,Ja,
"Hesters, Jules",Team Flanders - Baloise,1.1,0,0,0.0,Ja,
"Higuita, Sergio",XDS Astana Team,7.6,7,1,0.1,,
"Hindley, Jai",Red Bull - BORA - hansgrohe,11.5,1,0,0.0,,
"Hirschi, Marc",Tudor Pro Cycling Team,14.8,0,0,0.0,,"Hustlersen, Jappo, Knak"
"Hirt, Jan",Israel - Premier Tech,5.2,0,0,0.0,,
"Hoecke, Gijs Van",Intermarché - Wanty,1.3,1,0,0.0,Ja,
"Hoelgaard, Markus",Uno-X Mobility,1.5,0,0,0.0,Ja,
"Hofstetter, Hugo",Israel - Premier Tech,2.7,0,0,0.0,,
"Hollmann, Juri",Alpecin - Deceuninck,1.3,0,0,0.0,Ja,
"Holter, Ådne",Uno-X Mobility,1.0,5,30,30.0,Ja,
"Honoré, Mikkel",EF Education - EasyPost,2.7,0,0,0.0,,
"Hoole, Daan",Lidl - Trek,1.6,1,0,0.0,Ja,
"Hoorn, Taco van der",Intermarché - Wanty,2.1,7,0,0.0,Ja,
"Houle, Hugo",Israel - Premier Tech,2.1,1,0,0.0,Ja,
"Howson, Damien",Australian National Team,2.1,6,0,0.0,Ja,
"Huby, Antoine",Soudal - Quick-Step,1.7,7,0,0.0,Ja,
"Huens, Axel",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Huising, Menno",Team Visma - Lease a Bike,1.7,6,0,0.0,Ja,
"Huyet, Baptiste",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Huys, Laurens",Arkéa - BnB Hotels,1.1,0,0,0.0,Ja,
"Hvideberg, Jonas",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Iacchi, Alessandro",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Ibañez, Javier",Caja Rural - Seguros RGA,1.0,5,0,0.0,Ja,
"Inkelaar, Kevin",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Iribar, Unai",Equipo Kern Pharma,1.0,6,0,0.0,Ja,
"Irvine, Declan",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Isasa, Xabier",Euskaltel - Euskadi,1.0,1,0,0.0,Ja,
"Isidore, Noa",Decathlon AG2R La Mondiale,1.6,6,0,0.0,Ja,
"Izagirre, Ion",Cofidis,7.5,7,0,0.0,,
"Izquierdo, Clément",Cofidis,1.0,0,0,0.0,Ja,
"Jackson, George",Burgos Burpellet BH,1.1,0,0,0.0,Ja,
"Jacobs, Johan",Groupama - FDJ,1.0,0,0,0.0,Ja,
"Jakobsen, Fabio",Team Picnic PostNL,8.3,5,0,0.0,,
"Jansen, Amund Grøndahl",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Janssens, Jimmy",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Jeanniere, Emilien",TotalEnergies,1.7,0,0,0.0,,"Chrelle, Jappo, Knak"
"Jegat, Jordan",TotalEnergies,2.1,5,12,5.7,Ja,
"Johannessen, Anders",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Johannessen, Tobias",Uno-X Mobility,8.4,0,0,0.0,,
"Johannink, Jelle",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Johansen, Julius",UAE Emirates XRG,1.1,7,0,0.0,Ja,
"Johnston, Calum",Caja Rural - Seguros RGA,1.0,5,0,0.0,Ja,
"Jorgenson, Matteo",Team Visma - Lease a Bike,25.6,0,0,0.0,,
"Jousseaume, Alan",TotalEnergies,1.0,0,0,0.0,Ja,
"Juaristi, Txomin",Euskaltel - Euskadi,1.3,1,0,0.0,Ja,
"Jungels, Bob",INEOS Grenadiers,1.8,1,0,0.0,Ja,
"Juul-Jensen, Chris",Team Jayco AlUla,1.0,0,0,0.0,Ja,
"Kajamini, Florian",XDS Astana Team,1.2,0,0,0.0,Ja,
"Kämna, Lennard",Lidl - Trek,8.6,0,0,0.0,,
"Kamp, Alexander",Intermarché - Wanty,2.5,1,0,0.0,Ja,
"Kanter, Max",XDS Astana Team,4.7,0,0,0.0,,Hustlersen
"Kelderman, Wilco",Team Visma - Lease a Bike,9.7,0,0,0.0,,
"Kelemen, Petr",Tudor Pro Cycling Team,1.1,0,0,0.0,Ja,
"Kepplinger, Rainer",Bahrain Victorious,1.9,6,47,24.7,Ja,
"Kielich, Timo",Alpecin - Deceuninck,2.0,0,0,0.0,Ja,
"Kirsch, Alex",Lidl - Trek,2.2,0,0,0.0,Ja,
"Kleijn, Arvid de",Tudor Pro Cycling Team,5.6,5,4,0.7,,
"Kluckers, Arthur",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Kmínek, Vojtěch",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"Knight, Oliver",Cofidis,1.0,0,0,0.0,Ja,
"Knox, James",Soudal - Quick-Step,1.9,7,0,0.0,Ja,
"Koch, Jonas",Red Bull - BORA - hansgrohe,1.2,0,0,0.0,Ja,
"Koerdt, Bjoern",Team Picnic PostNL,1.0,7,0,0.0,Ja,
"Kogut, Oded",Israel - Premier Tech,1.0,0,0,0.0,,
"Kolze Changizi, Sebastian",Tudor Pro Cycling Team,1.0,5,1,1.0,Ja,
"Konrad, Patrick",Lidl - Trek,3.2,7,46,14.4,,
"Kooij, Olav",Team Visma - Lease a Bike,20.0,0,0,0.0,,"Kenk, Matti, Tommy, Visti"
"Kopecký, Matyáš",Team Novo Nordisk,1.3,1,0,0.0,Ja,
"Kopecký, Tomáš",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Koyama, Tomoya",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Krieger, Alexander",Tudor Pro Cycling Team,1.1,0,0,0.0,Ja,
"Krijnsen, Jelte",Team Jayco AlUla,3.0,1,0,0.0,,
"Kristoff, Alexander",Uno-X Mobility,6.8,5,8,1.2,,
"Kron, Andreas",Uno-X Mobility,8.3,0,0,0.0,,Kenk
"Kruijswijk, Steven",Team Visma - Lease a Bike,2.0,0,0,0.0,Ja,
"Kubiš, Lukáš",Unibet Tietema Rockets,1.3,0,0,0.0,Ja,
"Kudus, Merhawi",Burgos Burpellet BH,1.1,0,0,0.0,Ja,
"Kulset, Johannes",Uno-X Mobility,1.6,5,43,26.9,Ja,
"Kulset, Magnus",Uno-X Mobility,1.0,5,0,0.0,Ja,
"Küng, Stefan",Groupama - FDJ,14.1,0,0,0.0,,
"Kuss, Sepp",Team Visma - Lease a Bike,10.4,0,0,0.0,,
"Kuypers, Gerben",Intermarché - Wanty,1.0,0,0,0.0,Ja,
"Kwiatkowski, Michal",INEOS Grenadiers,4.3,7,0,0.0,,
"Kyffin, Zeb",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Labrosse, Jordan",Decathlon AG2R La Mondiale,1.2,6,0,0.0,Ja,
"Laengen, Vegard Stake",UAE Emirates XRG,1.0,0,0,0.0,Ja,
"Lafay, Victor",Decathlon AG2R La Mondiale,5.3,0,0,0.0,,Jarma
"Lambrecht, Michiel",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Lampaert, Yves",Soudal - Quick-Step,4.7,0,0,0.0,,
"Lamperti, Luke",Soudal - Quick-Step,7.9,0,0,0.0,,
"Landa, Mikel",Soudal - Quick-Step,17.2,0,0,0.0,,"Jappo, Jarma, Visti"
"Langellotti, Victor",INEOS Grenadiers,1.6,0,0,0.0,Ja,
"Lanhove, Milan",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Lapeira, Paul",Decathlon AG2R La Mondiale,6.3,6,0,0.0,,"Knak, Tommy"
"Laporte, Christophe",Team Visma - Lease a Bike,15.3,0,0,0.0,,
"Lastra, Jonathan",Cofidis,1.5,0,0,0.0,Ja,
"Latour, Pierre",TotalEnergies,2.2,0,0,0.0,Ja,
"Laurance, Axel",INEOS Grenadiers,4.4,0,0,0.0,,"Jappo, Matti, Okholm"
"Lazkano, Oier",Red Bull - BORA - hansgrohe,7.7,0,0,0.0,,"Chrelle, Matti, Okholm"
"Le Berre, Mathis",Arkéa - BnB Hotels,1.5,0,0,0.0,Ja,
"Le Gac, Olivier",Groupama - FDJ,1.1,0,0,0.0,Ja,
"Le Huitouze, Eddy",Groupama - FDJ,1.0,7,0,0.0,Ja,
"Lecerf, William Junior",Soudal - Quick-Step,4.3,7,2,0.5,,
"Lee, Jardi van der",EF Education - EasyPost,1.1,7,0,0.0,Ja,
"Leemreize, Gijs",Team Picnic PostNL,1.8,7,0,0.0,Ja,
"Leijnse, Enzo",Team Picnic PostNL,1.0,5,0,0.0,Ja,
"Leitão, Iúri",Caja Rural - Seguros RGA,1.1,1,0,0.0,Ja,
"Leknessund, Andreas",Uno-X Mobility,3.8,0,0,0.0,,
"Lemmen, Bart",Team Visma - Lease a Bike,7.2,0,0,0.0,,
"Leonard, Michael",INEOS Grenadiers,1.0,1,0,0.0,Ja,
"Lerberghe, Bert Van",Soudal - Quick-Step,1.1,5,0,0.0,Ja,
"Leroux, Samuel",TotalEnergies,1.3,5,0,0.0,Ja,
"Lie, Arnaud De",Lotto,17.9,0,0,0.0,,"Chrelle, Hustlersen, Jappo, Jarma, Okholm, Visti"
"Lienhard, Fabian",Tudor Pro Cycling Team,1.2,0,0,0.0,Ja,
"Liepiņš, Emīls",Q36.5 Pro Cycling Team,1.9,5,0,0.0,Ja,
"Lipowitz, Florian",Red Bull - BORA - hansgrohe,17.0,0,0,0.0,,Okholm
"Livyns, Arjen",Lotto,2.9,0,0,0.0,,
"Løland, Sakarias Koller",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Lonardi, Giovanni",Team Polti VisitMalta,4.1,1,0,0.0,,
"Loockx, Lander",Unibet Tietema Rockets,1.2,0,0,0.0,Ja,
"Lopez de Abetxuko, Andoni",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Lopez, Harold Martin",XDS Astana Team,1.7,3,0,0.0,Ja,
"Lopez, Jordi",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Lopez, Joseba",Caja Rural - Seguros RGA,1.1,0,0,0.0,Ja,
"Lopez, Juan Pedro",Lidl - Trek,3.3,7,0,0.0,,
"Louvel, Matîs",Israel - Premier Tech,2.3,0,0,0.0,Ja,Jarma
"Lozano, David",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Lozouet, Léandre",Arkéa - BnB Hotels,1.0,0,0,0.0,Ja,
"Lutsenko, Alexey",Israel - Premier Tech,5.5,1,0,0.0,,
"Maas, Jan",Cofidis,1.0,7,0,0.0,Ja,
"Maciejuk, Filip",Red Bull - BORA - hansgrohe,1.0,7,0,0.0,Ja,
"Mackellar, Alastair",EF Education - EasyPost,1.0,7,0,0.0,Ja,
"Madouas, Valentin",Groupama - FDJ,9.2,0,0,0.0,,
"Maestri, Mirco",Team Polti VisitMalta,1.4,1,0,0.0,Ja,
"Magli, Filippo",VF Group - Bardiani CSF - Faizanè,1.6,0,0,0.0,Ja,
"Magnier, Paul",Soudal - Quick-Step,8.5,0,0,0.0,,"Chrelle, Jappo, Jarma, Kenk, Tommy, Visti"
"Mahoudo, Nolann",Cofidis,1.0,7,0,0.0,Ja,
"Maire, Adrien",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Maisonobe, Sam",Cofidis,1.0,0,0,0.0,Ja,
"Majka, Rafał",UAE Emirates XRG,2.7,5,3,1.1,,
"Małecki, Kamil",Q36.5 Pro Cycling Team,1.2,0,0,0.0,Ja,
"Malucelli, Matteo",XDS Astana Team,1.3,0,0,0.0,Ja,
"Manzin, Lorrenzo",TotalEnergies,1.2,0,0,0.0,Ja,
"Marcellusi, Martin",VF Group - Bardiani CSF - Faizanè,1.3,0,0,0.0,Ja,
"Marcerou, Nicola",TotalEnergies,1.0,5,0,0.0,Ja,
"Maris, Elias",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Marit, Arne",Intermarché - Wanty,2.5,7,20,8.0,Ja,
"Märkl, Niklas",Team Picnic PostNL,1.1,5,0,0.0,Ja,
"Martín, Alex",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Martín, David",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"Martín, Gotzon",Euskaltel - Euskadi,1.1,0,0,0.0,Ja,
"Martin, Guillaume",Groupama - FDJ,6.7,0,0,0.0,,
"Martinelli, Alessio",VF Group - Bardiani CSF - Faizanè,1.0,1,0,0.0,Ja,
"Martínez, Daniel",Red Bull - BORA - hansgrohe,14.2,0,0,0.0,,
"Martinez, Juan Guillermo",Team Picnic PostNL,1.4,0,0,0.0,Ja,
"Martinez, Lenny",Bahrain Victorious,9.2,1,2,0.2,,"Jappo, Knak, Matti, Okholm, Tommy, Visti"
"Mas, Enric",Movistar Team,22.2,0,0,0.0,,
"Masnada, Fausto",XDS Astana Team,2.7,0,0,0.0,,
"Matthews, Michael",Team Jayco AlUla,12.2,0,0,0.0,,
"Matthys, Louka",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Mayrhofer, Marius",Tudor Pro Cycling Team,4.9,0,0,0.0,,
"McDonald, Bailey",Team Novo Nordisk,1.0,1,0,0.0,Ja,
"McLay, Daniel",Team Visma - Lease a Bike,1.8,0,0,0.0,Ja,
"McNulty, Brandon",UAE Emirates XRG,16.7,1,4,0.2,,
"Mechelen, Vlad Van",Bahrain Victorious,1.7,0,0,0.0,Ja,
"Meens, Johan",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Meester, Luca De",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Meeus, Jordi",Red Bull - BORA - hansgrohe,7.8,0,0,0.0,,
"Meintjes, Louis",Intermarché - Wanty,3.6,1,0,0.0,,
"Menten, Milan",Lotto,3.5,0,0,0.0,,
"Meo, Felix James",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Meris, Sergio",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Merlier, Tim",Soudal - Quick-Step,19.5,5,30,1.5,,"Jappo, Knak, Matti, Tommy"
"Meulen, Max van der",Bahrain Victorious,1.0,5,7,7.0,Ja,
"Meurisse, Xandro",Alpecin - Deceuninck,1.6,0,0,0.0,Ja,
"Mezgec, Luka",Team Jayco AlUla,2.2,5,0,0.0,Ja,
"Mihkels, Madis",EF Education - EasyPost,5.6,0,0,0.0,,"Hustlersen, Matti, Visti"
"Miholjević, Fran",Bahrain Victorious,1.0,0,0,0.0,Ja,
"Mikutis, Aivaras",Tudor Pro Cycling Team,1.0,5,0,0.0,Ja,
"Milan, Jonathan",Lidl - Trek,25.3,1,0,0.0,,"Jarma, Kenk, Matti, Okholm, Visti"
"Milesi, Lorenzo",Movistar Team,2.2,1,0,0.0,Ja,
"Mintegi, Iker",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Miquel, Pau",Equipo Kern Pharma,6.3,0,0,0.0,,
"Moer, Brent Van",Lotto,1.3,0,0,0.0,Ja,
"Mohorič, Matej",Bahrain Victorious,13.0,0,0,0.0,,
"Molano, Sebastián",UAE Emirates XRG,6.0,5,32,5.3,,
"Molard, Rudy",Groupama - FDJ,2.7,0,0,0.0,,
"Molenaar, Alex",Caja Rural - Seguros RGA,1.8,1,0,0.0,Ja,
"Mollema, Bauke",Lidl - Trek,5.1,7,16,3.1,,Knak
"Moniquet, Sylvain",Cofidis,2.4,0,0,0.0,Ja,
"Montagner, Andrea",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Morgado, António",UAE Emirates XRG,4.1,0,0,0.0,,"Hustlersen, Jappo, Matti, Visti"
"Moro, Manlio",Movistar Team,1.0,1,0,0.0,Ja,
"Mosca, Jacopo",Lidl - Trek,1.1,7,3,2.7,Ja,
"Moschetti, Matteo",Q36.5 Pro Cycling Team,2.1,5,31,14.8,Ja,
"Moscon, Gianni",Red Bull - BORA - hansgrohe,1.7,1,0,0.0,Ja,
"Mouris, Wessel",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Mozzato, Luca",Arkéa - BnB Hotels,4.0,0,0,0.0,,
"Mühlberger, Gregor",Movistar Team,2.0,7,0,0.0,Ja,
"Mullen, Ryan",Red Bull - BORA - hansgrohe,1.2,7,0,0.0,Ja,
"Muller, Anton",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Mulubrhan, Henok",XDS Astana Team,1.2,7,0,0.0,Ja,
"Muñoz, Fran",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Murguialday, Jokin",Euskaltel - Euskadi,1.0,1,0,0.0,Ja,
"Naberman, Tim",Team Picnic PostNL,1.0,0,0,0.0,Ja,
"Naesen, Oliver",Decathlon AG2R La Mondiale,2.0,0,0,0.0,Ja,Knak
"Narváez, Jhonatan",UAE Emirates XRG,13.6,6,161,11.8,,"Hustlersen, Kenk"
"Neilands, Krists",Israel - Premier Tech,3.2,0,0,0.0,,
"Nencini, Tommaso",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Nerurkar, Lukas",EF Education - EasyPost,5.5,7,0,0.0,,"Hustlersen, Jarma"
"Nicolau, Joel",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Nielsen, Sebastian",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Nizzolo, Giacomo",Q36.5 Pro Cycling Team,2.8,0,0,0.0,,
"Nordhagen, Jørgen",Team Visma - Lease a Bike,3.1,0,0,0.0,,
"Norsgaard, Mathias",Movistar Team,1.1,7,0,0.0,Ja,
"Novak, Domen",UAE Emirates XRG,1.0,0,0,0.0,Ja,
"Nys, Thibau",Lidl - Trek,9.9,0,0,0.0,,"Chrelle, Hustlersen, Jappo, Kenk, Knak, Matti, Tommy, Visti"
"O'Brien, Kelland",Team Jayco AlUla,1.1,7,0,0.0,Ja,
"O'Connor, Ben",Team Jayco AlUla,21.8,1,0,0.0,,
"Okamika, Ander",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"Oldani, Stefano",Cofidis,2.6,0,0,0.0,,
"Oliveira, Ivo",UAE Emirates XRG,1.2,6,0,0.0,Ja,
"Oliveira, Nelson",Movistar Team,2.5,1,0,0.0,Ja,
"Oliveira, Rui",UAE Emirates XRG,2.2,6,20,9.1,Ja,
"Onley, Oscar",Team Picnic PostNL,14.7,7,98,6.7,,"Hustlersen, Okholm"
"Oomen, Sam",Lidl - Trek,1.9,0,0,0.0,Ja,
"Orins, Robin",Lotto,1.1,0,0,0.0,Ja,
"Otruba, Jakub",Caja Rural - Seguros RGA,1.1,1,0,0.0,Ja,
"Ourselin, Paul",Cofidis,1.1,7,0,0.0,Ja,
"Paar, Jarne Van de",Lotto,2.0,0,0,0.0,Ja,
"Paasschens, Mathijs",Bahrain Victorious,1.0,6,0,0.0,Ja,
"Pacher, Quentin",Groupama - FDJ,3.6,7,0,0.0,,
"Page, Hugo",Intermarché - Wanty,4.4,0,0,0.0,,
"Paige, Charles",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Paleni, Enzo",Groupama - FDJ,1.6,0,0,0.0,Ja,
"Paletti, Luca",VF Group - Bardiani CSF - Faizanè,1.0,1,0,0.0,Ja,
"Palzer, Anton",Red Bull - BORA - hansgrohe,1.0,0,0,0.0,Ja,
"Papon, Victor",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Paquot, Tom",Intermarché - Wanty,1.0,7,0,0.0,Ja,
"Paret-Peintre, Aurélien",Decathlon AG2R La Mondiale,5.7,0,0,0.0,,
