Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Paret-Peintre, Valentin",Soudal - Quick-Step,6.9,0,0,0.0,,
"Parisini, Nicolò",Q36.5 Pro Cycling Team,1.5,5,0,0.0,Ja,
"Parra, José Félix",Equipo Kern Pharma,2.3,1,0,0.0,Ja,
"Pasqualon, Andrea",Bahrain Victorious,2.1,5,0,0.0,Ja,
"Pedersen, Casper",Soudal - Quick-Step,1.2,7,0,0.0,Ja,
"Pedersen, Henrik",Uno-X Mobility,1.3,0,0,0.0,Ja,
"Pedersen, Mads",Lidl - Trek,28.1,0,0,0.0,,"Chrelle, Hustlersen, Jappo, Kenk, Matti, Tommy, Visti"
"Pedersen, Rasmus Søjberg",Decathlon AG2R La Mondiale,2.1,0,0,0.0,Ja,Jarma
"Pedrero, Antonio",Movistar Team,1.7,0,0,0.0,Ja,
"Pellizzari, Giulio",Red Bull - BORA - hansgrohe,6.8,0,0,0.0,,Tommy
"Peñalver, Manuel",Team Polti VisitMalta,1.2,0,0,0.0,Ja,
"Penhoët, Paul",Groupama - FDJ,4.8,0,0,0.0,,Jarma
"Peñuela, Francisco",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Percrule, Doriand",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Perez, Anthony",Cofidis,1.0,0,0,0.0,Ja,
"Peron, Andrea",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Perracchione, Alessandro",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Persico, Davide",Wagner Bazin WB,1.2,0,0,0.0,Ja,
"Pescador, Diego",Movistar Team,1.0,7,0,0.0,Ja,
"Pestel, Sander De",Decathlon AG2R La Mondiale,1.0,0,0,0.0,Ja,
"Petegem, Axandre Van",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Peters, Nans",Decathlon AG2R La Mondiale,1.5,0,0,0.0,Ja,
"Petilli, Simone",Intermarché - Wanty,1.3,0,0,0.0,Ja,
"Petit, Adrien",Intermarché - Wanty,1.0,1,0,0.0,Ja,
"Philipsen, Jasper",Alpecin - Deceuninck,27.5,0,0,0.0,,"Jarma, Knak"
"Phippen, Logan",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Pickering, Finlay",Bahrain Victorious,1.2,0,0,0.0,Ja,
"Pickrell, Riley",Israel - Premier Tech,2.4,1,0,0.0,Ja,
"Pidcock, Joe",Q36.5 Pro Cycling Team,1.1,0,0,0.0,Ja,
"Pidcock, Tom",Q36.5 Pro Cycling Team,18.0,5,80,4.4,,"Chrelle, Jappo, Knak"
"Pietrobon, Andrea",Team Polti VisitMalta,1.2,0,0,0.0,Ja,
"Piganzoli, Davide",Team Polti VisitMalta,5.6,1,0,0.0,,
"Pinarello, Alessandro",VF Group - Bardiani CSF - Faizanè,1.1,0,0,0.0,Ja,
"Pinazzi, Mattia",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Piras, Andrea",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Pithie, Laurence",Red Bull - BORA - hansgrohe,12.9,7,50,3.9,,Tommy
"Planckaert, Edward",Alpecin - Deceuninck,1.1,1,0,0.0,Ja,
"Plapp, Luke",Team Jayco AlUla,9.1,6,61,6.7,,"Chrelle, Hustlersen"
"Plowright, Jensen",Alpecin - Deceuninck,1.2,0,0,0.0,Ja,
"Pluimers, Rick",Tudor Pro Cycling Team,1.9,0,0,0.0,Ja,
"Plus, Laurens De",INEOS Grenadiers,5.5,0,0,0.0,,Okholm
"Poel, Mathieu van der",Alpecin - Deceuninck,28.0,0,0,0.0,,Jarma
"Poels, Wout",XDS Astana Team,4.9,0,0,0.0,,
"Pogačar, Tadej",UAE Emirates XRG,60.0,0,0,0.0,,"Chrelle, Hustlersen, Jappo, Jarma, Kenk, Knak, Okholm, Tommy, Visti"
"Polga, Antonio",Team Novo Nordisk,1.0,1,0,0.0,Ja,
"Poli, Umberto",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Politt, Nils",UAE Emirates XRG,7.0,0,0,0.0,,
"Pollefliet, Gianluca",Decathlon AG2R La Mondiale,1.8,0,0,0.0,Ja,
"Poole, Max",Team Picnic PostNL,8.7,0,0,0.0,,"Chrelle, Jarma"
"Pooter, Dries De",Intermarché - Wanty,1.1,7,1,0.9,Ja,
"Poppel, Danny van",Red Bull - BORA - hansgrohe,7.4,7,19,2.6,,
"Portsmouth, Tom",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Poucke, Aaron Van",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Powless, Neilson",EF Education - EasyPost,11.4,0,0,0.0,,Jappo
"Prades, Eduard",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Price-Pejtersen, Johan",Alpecin - Deceuninck,1.2,0,0,0.0,Ja,
"Prodhomme, Nicolas",Decathlon AG2R La Mondiale,1.2,0,0,0.0,Ja,
"Puccio, Salvatore",INEOS Grenadiers,1.0,0,0,0.0,Ja,
"Quartucci, Lorenzo",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Quinn, Sean",EF Education - EasyPost,1.7,0,0,0.0,Ja,
"Quintana, Nairo",Movistar Team,3.9,0,0,0.0,,
"Raccagni, Andrea",Soudal - Quick-Step,1.0,7,4,4.0,Ja,
"Raccagni, Gabriele",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Rafferty, Darren",EF Education - EasyPost,1.7,0,0,0.0,Ja,"Okholm, Tommy"
"Raisberg, Nadav",Israel - Premier Tech,1.0,0,0,0.0,Ja,
"Rajović, Dušan",Toscana Factory Team Vini Fantini,1.1,0,0,0.0,Ja,
"Reinderink, Pepijn",Soudal - Quick-Step,1.0,0,0,0.0,Ja,
"Reinders, Elmar",Team Jayco AlUla,1.1,5,0,0.0,Ja,
"Renard-Haquin, Henri-François",Wagner Bazin WB,1.0,5,0,0.0,Ja,
"Renard, Alexis",Cofidis,1.8,7,4,2.2,Ja,
"Resell, Erik",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Retailleau, Valentin",TotalEnergies,1.1,0,0,0.0,Ja,
"Retegi, Mikel",Equipo Kern Pharma,1.3,0,0,0.0,Ja,
"Rex, Laurenz",Intermarché - Wanty,2.5,0,0,0.0,,"Chrelle, Jappo, Jarma, Kenk, Visti"
"Reynders, Jens",Wagner Bazin WB,1.0,5,0,0.0,Ja,
"Riccitello, Matthew",Israel - Premier Tech,8.2,0,0,0.0,,
"Rickaert, Jonas",Alpecin - Deceuninck,1.3,0,0,0.0,Ja,
"Ridolfo, Filippo",Team Novo Nordisk,1.0,1,0,0.0,Ja,
"Ries, Michel",Arkéa - BnB Hotels,1.0,0,0,0.0,Ja,
"Riesebeek, Oscar",Alpecin - Deceuninck,1.1,1,0,0.0,Ja,
"Rivera, Brandon",INEOS Grenadiers,2.9,0,0,0.0,,
"Robeet, Ludovic",Cofidis,1.0,0,0,0.0,Ja,
"Rochas, Rémy",Groupama - FDJ,2.7,7,45,16.7,,
"Rodriguez, Carlos",INEOS Grenadiers,24.0,1,3,0.1,,"Matti, Visti"
"Rodríguez, Cristian",Arkéa - BnB Hotels,5.8,6,0,0.0,,
"Rodríguez, Oscar",INEOS Grenadiers,1.9,0,0,0.0,Ja,
"Roglič, Primož",Red Bull - BORA - hansgrohe,37.8,0,0,0.0,,"Hustlersen, Knak"
"Rojas, Vicente",VF Group - Bardiani CSF - Faizanè,1.0,1,0,0.0,Ja,
"Rolando, Joann",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Rolland, Brieuc",Groupama - FDJ,1.1,0,0,0.0,Ja,Kenk
"Romele, Alessandro",XDS Astana Team,1.1,5,0,0.0,Ja,
"Romeo, Iván",Movistar Team,2.4,1,1,0.4,Ja,Matti
"Romo, Javier",Movistar Team,4.3,7,162,37.7,,
"Rondel, Mathys",Tudor Pro Cycling Team,1.3,0,0,0.0,Ja,
"Roosen, Timo",Team Picnic PostNL,1.0,0,0,0.0,Ja,
"Rootkin-Gray, Jack",EF Education - EasyPost,1.0,0,0,0.0,Ja,
"Rooy, Kenneth Van",Wagner Bazin WB,1.1,5,0,0.0,Ja,
"Rota, Lorenzo",Intermarché - Wanty,3.2,0,0,0.0,,
"Rouland, Louis",Arkéa - BnB Hotels,1.0,6,0,0.0,Ja,
"Rubio, Einer",Movistar Team,8.0,0,0,0.0,,
"Ruiz, Ibon",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Russo, Clément",Groupama - FDJ,1.4,0,0,0.0,Ja,
"Rutsch, Jonas",Intermarché - Wanty,1.4,0,0,0.0,Ja,
"Ryan, Archie",EF Education - EasyPost,6.3,0,0,0.0,,
"Sainbayar, Jambaljamts",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Samitier, Sergio",Cofidis,1.0,0,0,0.0,Ja,
"Samudio, Carlos",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Sanchez, Pelayo",Movistar Team,6.2,0,0,0.0,,
"Sande, Tosh Van der",Team Visma - Lease a Bike,1.1,0,0,0.0,Ja,
"Sbaragli, Kristian",Toscana Factory Team Vini Fantini,1.2,0,0,0.0,Ja,
"Scalco, Matteo",VF Group - Bardiani CSF - Faizanè,1.0,1,0,0.0,Ja,
"Scaroni, Christian",XDS Astana Team,3.8,0,0,0.0,,
"Schachmann, Maximilian",Soudal - Quick-Step,6.0,0,0,0.0,,"Jarma, Knak"
"Schelling, Ide",XDS Astana Team,3.2,7,0,0.0,,
"Schmid, Mauro",Team Jayco AlUla,7.0,7,70,10.0,,"Jarma, Visti"
"Schultz, Nick",Israel - Premier Tech,2.5,7,0,0.0,Ja,
"Schuyteneer, Steffen De",Lotto,1.7,0,0,0.0,Ja,
"Schwarzmann, Michael",Israel - Premier Tech,1.0,0,0,0.0,Ja,
"Scotson, Callum",Decathlon AG2R La Mondiale,1.3,0,0,0.0,Ja,
"Scotson, Miles",Arkéa - BnB Hotels,1.0,1,0,0.0,Ja,
"Segaert, Alec",Lotto,5.5,0,0,0.0,,"Knak, Tommy, Visti"
"Seixas, Paul",Decathlon AG2R La Mondiale,2.0,0,0,0.0,,Matti
"Sénéchal, Florian",Arkéa - BnB Hotels,3.3,0,0,0.0,,
"Sepúlveda, Eduardo",Lotto,1.1,0,0,0.0,Ja,
"Serrano, Gonzalo",Movistar Team,2.3,0,0,0.0,Ja,
"Serrano, Javi",Team Polti VisitMalta,1.1,0,0,0.0,Ja,
"Serry, Pieter",Soudal - Quick-Step,1.0,7,0,0.0,Ja,
"Sevilla, Diego Pablo",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Shaw, James",EF Education - EasyPost,1.1,0,0,0.0,Ja,
"Sheehan, Riley",Israel - Premier Tech,4.6,1,0,0.0,,Okholm
"Sheffield, Magnus",INEOS Grenadiers,11.0,7,75,6.8,,Okholm
"Shmidt, Artem",INEOS Grenadiers,1.0,0,0,0.0,Ja,
"Silva, Thomas",Caja Rural - Seguros RGA,1.1,0,0,0.0,Ja,
"Simmons, Quinn",Lidl - Trek,4.0,0,0,0.0,,
"Sintmaartensdijk, Roel van",Intermarché - Wanty,1.0,0,0,0.0,Ja,
"Sivakov, Pavel",UAE Emirates XRG,8.9,1,0,0.0,,"Jarma, Okholm"
"Skaarseth, Anders",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Skerl, Daniel",Bahrain Victorious,1.1,6,0,0.0,Ja,
"Skjelmose, Mattias",Lidl - Trek,24.9,0,0,0.0,,"Matti, Tommy"
"Skujins, Toms",Lidl - Trek,9.0,0,0,0.0,,
"Slock, Liam",Lotto,1.1,0,0,0.0,Ja,
"Smith, Dion",Intermarché - Wanty,1.8,7,0,0.0,Ja,
"Smith, Nathan",Team Novo Nordisk,1.0,1,0,0.0,Ja,
"Sobrero, Matteo",Red Bull - BORA - hansgrohe,3.9,1,0,0.0,,
"Soler, Marc",UAE Emirates XRG,7.7,6,0,0.0,,
"Sorarrain, Gorka",Caja Rural - Seguros RGA,1.0,5,0,0.0,Ja,
"Sosa, Ivan",Equipo Kern Pharma,2.4,1,5,2.1,Ja,
"Soto, Antonio",Equipo Kern Pharma,2.8,0,0,0.0,,
"Soupe, Geoffrey",TotalEnergies,1.3,0,0,0.0,Ja,
"Stannard, Robert",Bahrain Victorious,3.4,6,0,0.0,,
"Staune-Mittet, Johannes",Decathlon AG2R La Mondiale,2.3,0,0,0.0,,"Chrelle, Matti"
"Steimle, Jannik",Q36.5 Pro Cycling Team,1.1,1,0,0.0,Ja,
"Steinhauser, Georg",EF Education - EasyPost,5.0,0,0,0.0,,Hustlersen
"Stenico, Mattia",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Stewart, Campbell",Team Jayco AlUla,1.6,7,1,0.6,Ja,
"Stewart, Jake",Israel - Premier Tech,2.6,1,0,0.0,,
"Stewart, Mark",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Stites, Tyler",Caja Rural - Seguros RGA,1.7,1,0,0.0,Ja,
"Stockman, Abram",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Stockwell, Oliver",Bahrain Victorious,1.0,5,0,0.0,Ja,
"Stokbro, Andreas",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Storer, Michael",Tudor Pro Cycling Team,9.1,0,0,0.0,,
"Stork, Florian",Tudor Pro Cycling Team,1.4,0,0,0.0,Ja,
"Strong, Corbin",Israel - Premier Tech,8.5,7,54,6.4,,"Knak, Visti"
"Stuyven, Jasper",Lidl - Trek,6.6,0,0,0.0,,
"Su, Haoyu",XDS Astana Team,1.0,0,0,0.0,Ja,
"Suter, Joel",Tudor Pro Cycling Team,1.2,0,0,0.0,Ja,
"Sütterlin, Jasha",Team Jayco AlUla,1.0,1,0,0.0,Ja,
"Sutton, Louis",Euskaltel - Euskadi,1.2,0,0,0.0,Ja,
"Svestad-Bårdseng, Embret",Arkéa - BnB Hotels,1.4,0,0,0.0,Ja,
"Svrček, Martin",Soudal - Quick-Step,1.1,0,0,0.0,Ja,
"Sweeny, Harry",EF Education - EasyPost,1.5,0,0,0.0,Ja,
"Swift, Ben",INEOS Grenadiers,1.1,7,12,10.9,Ja,
"Swift, Connor",INEOS Grenadiers,1.1,7,0,0.0,Ja,
"Taminiaux, Lionel",Lotto,2.2,0,0,0.0,Ja,
"Tarling, Josh",INEOS Grenadiers,8.1,0,0,0.0,,Chrelle
"Tarozzi, Manuele",VF Group - Bardiani CSF - Faizanè,1.3,0,0,0.0,Ja,
"Tejada, Harold",XDS Astana Team,4.2,0,0,0.0,,
"Tercero, Fernando",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Tesfatsion, Natnael",Movistar Team,3.1,7,2,0.6,,
"Tesson, Jason",TotalEnergies,2.0,0,0,0.0,Ja,
"Teunissen, Mike",XDS Astana Team,4.2,0,0,0.0,,
"Teuns, Dylan",Cofidis,5.4,0,0,0.0,,Knak
"Teutenberg, Tim Torn",Lidl - Trek,2.1,7,48,22.9,,"Hustlersen, Kenk, Tommy"
"Thalmann, Roland",Tudor Pro Cycling Team,1.0,5,0,0.0,Ja,
"Theuns, Edward",Lidl - Trek,2.8,1,0,0.0,,
"Thierry, Pierre",Arkéa - BnB Hotels,1.0,0,0,0.0,Ja,
"Thijssen, Gerben",Intermarché - Wanty,5.4,1,0,0.0,,
"Thomas, Benjamin",Cofidis,1.8,0,0,0.0,Ja,
"Thomas, Geraint",INEOS Grenadiers,7.5,7,0,0.0,,
"Thompson, Reuben",Lotto,1.4,0,0,0.0,Ja,
"Tiberi, Antonio",Bahrain Victorious,22.6,0,0,0.0,,
"Tier, Floris De",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Tiller, Rasmus",Uno-X Mobility,4.2,0,0,0.0,,
"Tissières, Arnaud",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Tizza, Marco",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Tjøtta, Martin",Arkéa - BnB Hotels,1.0,6,0,0.0,Ja,
"Todome, Yuhi",EF Education - EasyPost,1.0,6,0,0.0,Ja,
"Tolio, Alex",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Toneatti, Davide",XDS Astana Team,1.2,0,0,0.0,Ja,
"Tonelli, Alessandro",Team Polti VisitMalta,1.7,0,0,0.0,Ja,
"Torres, Albert",Movistar Team,1.0,0,0,0.0,Ja,
"Torres, Pablo",UAE Emirates XRG,4.9,6,0,0.0,,Jappo
"Toumire, Hugo",Cofidis,1.0,0,0,0.0,Ja,
"Toupalík, Adam",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Touzé, Damien",Cofidis,2.1,0,0,0.0,Ja,
"Townsend, Rory",Q36.5 Pro Cycling Team,1.1,1,0,0.0,Ja,
"Træen, Torstein",Bahrain Victorious,3.3,0,0,0.0,,
"Tratnik, Jan",Red Bull - BORA - hansgrohe,4.2,0,0,0.0,,
"Trentin, Matteo",Tudor Pro Cycling Team,5.9,0,0,0.0,,Knak
"Tricht, Stan Van",Alpecin - Deceuninck,2.1,0,0,0.0,Ja,
"Tronchon, Bastien",Decathlon AG2R La Mondiale,1.1,6,60,54.5,Ja,
"Tsarenko, Kyrylo",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Tu, Sergio",Bahrain Victorious,1.0,0,0,0.0,Ja,
"Tulett, Ben",Team Visma - Lease a Bike,3.3,0,0,0.0,,
"Turconi, Filippo",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Turgis, Anthony",TotalEnergies,3.5,0,0,0.0,,
"Turner, Ben",INEOS Grenadiers,3.7,0,0,0.0,,
"Tuuk, Danny van der",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Uden, Casper van",Team Picnic PostNL,4.8,5,0,0.0,,
"Uhlig, Henri",Alpecin - Deceuninck,2.1,7,25,11.9,,Hustlersen
"Uijtdebroeks, Cian",Team Visma - Lease a Bike,10.5,0,0,0.0,,Hustlersen
"Ulissi, Diego",XDS Astana Team,4.5,0,0,0.0,,Knak
"Uriarte, Diego",Equipo Kern Pharma,1.0,6,14,14.0,Ja,
"Vacek, Mathias",Lidl - Trek,10.2,1,0,0.0,,Okholm
"Vader, Milan",Q36.5 Pro Cycling Team,3.7,1,0,0.0,,
"Vadic, Baptiste",TotalEnergies,1.0,0,0,0.0,Ja,
"Valgren, Michael",EF Education - EasyPost,3.0,0,0,0.0,,
"Valter, Attila",Team Visma - Lease a Bike,5.8,0,0,0.0,,
"Vandenabeele, Henri",Lotto,1.1,0,0,0.0,Ja,
"Vandenbranden, Noah",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Vandenstorme, Dylan",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Vandevelde, Yentl",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Vangheluwe, Warre",Soudal - Quick-Step,2.9,5,0,0.0,,
"Vanhoof, Ward",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Vanhoucke, Harm",Q36.5 Pro Cycling Team,1.9,0,0,0.0,Ja,
"Vansevenant, Mauri",Soudal - Quick-Step,8.4,0,0,0.0,,
"Vauquelin, Kévin",Arkéa - BnB Hotels,10.1,0,0,0.0,,
"Veistroffer, Baptiste",Lotto,1.0,0,0,0.0,Ja,
"Velasco, Simone",XDS Astana Team,2.8,0,0,0.0,,
"Vendrame, Andrea",Decathlon AG2R La Mondiale,5.0,6,0,0.0,,
"Venturini, Clément",Arkéa - BnB Hotels,1.8,0,0,0.0,Ja,
"Vercher, Mattéo",TotalEnergies,1.9,0,0,0.0,Ja,
"Vercouillie, Victor",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Vergaerde, Otto",Lidl - Trek,1.0,0,0,0.0,Ja,
"Vergallito, Luca",Alpecin - Deceuninck,1.6,0,0,0.0,Ja,
"Vermaerke, Kevin",Team Picnic PostNL,7.4,0,0,0.0,,
"Vermeersch, Florian",UAE Emirates XRG,3.9,0,0,0.0,,"Kenk, Visti"
"Vermeersch, Gianni",Alpecin - Deceuninck,3.0,1,0,0.0,,
"Vermoote, Jelle",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Vermote, Julien",Team Visma - Lease a Bike,1.0,6,0,0.0,Ja,
"Vernon, Ethan",Israel - Premier Tech,6.5,1,0,0.0,,
"Verona, Carlos",Lidl - Trek,2.6,0,0,0.0,,
"Verrando, Luca",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Verre, Alessandro",Arkéa - BnB Hotels,1.2,6,0,0.0,Ja,
"Verschuren, Killian",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Verstrynge, Emiel",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Vervaeke, Louis",Soudal - Quick-Step,1.2,0,0,0.0,Ja,
"Villa, Giacomo",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Vine, Jay",UAE Emirates XRG,8.2,6,20,2.4,,
"Vingegaard, Jonas",Team Visma - Lease a Bike,42.2,0,0,0.0,,"Chrelle, Hustlersen, Jappo, Jarma, Kenk, Knak, Matti, Okholm, Tommy, Visti"
"Vinokurov, Nicolas",XDS Astana Team,1.0,5,0,0.0,Ja,
"Vlasov, Aleksandr",Red Bull - BORA - hansgrohe,21.3,1,0,0.0,,
"Vliegen, Loïc",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Voisard, Yannis",Tudor Pro Cycling Team,2.3,5,4,1.7,Ja,
"Vries, Hartthijs de",Unibet Tietema Rockets,1.1,0,0,0.0,Ja,
"Vylder, Lindsay De",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Wærenskjold, Søren",Uno-X Mobility,6.5,0,0,0.0,,
"Walker, Max",EF Education - EasyPost,1.0,7,0,0.0,Ja,
"Wallin, Rasmus Bøgh",Uno-X Mobility,1.0,5,0,0.0,Ja,
"Walls, Matthew",Groupama - FDJ,1.2,7,23,19.2,Ja,
"Walscheid, Max",Team Jayco AlUla,3.1,5,5,1.6,,
"Wandahl, Frederik",Red Bull - BORA - hansgrohe,1.4,1,0,0.0,Ja,"Kenk, Tommy"
"Warbasse, Larry",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Warlop, Jordi",Soudal - Quick-Step,1.1,5,0,0.0,Ja,
"Watelle, Celestin",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Watson, Samuel",INEOS Grenadiers,1.5,7,20,13.3,,Tommy
"Weemaes, Sasha",Wagner Bazin WB,1.1,5,4,3.6,Ja,
"Weiss, Fabian",Tudor Pro Cycling Team,1.2,0,0,0.0,Ja,
"Wellens, Tim",UAE Emirates XRG,11.1,0,0,0.0,,
"Welsford, Sam",Red Bull - BORA - hansgrohe,6.4,7,75,11.7,,"Chrelle, Hustlersen, Tommy"
"Welten, Bram",Team Picnic PostNL,2.0,0,0,0.0,Ja,
"Wenzel, Mats",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Wilder, Ilan Van",Soudal - Quick-Step,10.8,0,0,0.0,,Chrelle
"Wilksch, Hannes",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Williams, Stevie",Israel - Premier Tech,10.9,7,0,0.0,,
"Wirtgen, Luc",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Withen Philipsen, Albert",Lidl - Trek,1.1,7,22,20.0,,"Chrelle, Hustlersen, Jappo, Kenk, Knak, Matti, Okholm, Tommy"
"Woods, Michael",Israel - Premier Tech,6.9,7,45,6.5,,
"Wright, Fred",Bahrain Victorious,6.5,0,0,0.0,,
"Wynkele, Lorenz Van de",Lotto,1.1,0,0,0.0,Ja,
"Yates, Adam",UAE Emirates XRG,24.7,0,0,0.0,,
"Yates, Simon",Team Visma - Lease a Bike,14.9,0,0,0.0,,Okholm
"Zambanini, Edoardo",Bahrain Victorious,7.3,1,0,0.0,,
"Zana, Filippo",Team Jayco AlUla,5.7,1,0,0.0,,
"Zanoncello, Enrico",VF Group - Bardiani CSF - Faizanè,1.4,0,0,0.0,Ja,
"Zijlaard, Maikel",Tudor Pro Cycling Team,1.9,5,10,5.3,Ja,
"Zimmermann, Georg",Intermarché - Wanty,4.0,7,6,1.5,,
"Zingle, Axel",Team Visma - Lease a Bike,6.1,0,0,0.0,,"Tommy, Visti"
"Zoccarato, Samuele",Team Polti VisitMalta,1.0,1,0,0.0,Ja,
"Zubeldia, Unai",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Zukowsky, Nick",Q36.5 Pro Cycling Team,1.0,5,0,0.0,Ja,
"Zwiehoff, Ben",Red Bull - BORA - hansgrohe,2.2,7,0,0.0,Ja,
